ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
Asv982	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			
Asv983	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv984	Bacteria	Cyanobacteria						
Asv985	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			
Asv981	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv986	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv987	Bacteria	Actinobacteria	Actinobacteria					
Asv988	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Prolixibacteraceae			
Asv991	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv990	Bacteria	Bacteroidetes	Chitinophagia	Saprospirales				
Asv992	Bacteria	Actinobacteria						
Asv993	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv989	Bacteria	Actinobacteria						
Asv994	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv995	Bacteria	Actinobacteria	Actinobacteria					
Asv996	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv998	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			
Asv999	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1000	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			
Asv1002	Bacteria	Actinobacteria	Actinobacteria					
Asv1001	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			
Asv997	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv1003	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv1004	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv1005	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1007	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv1008	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv1009	Bacteria	Actinobacteria	Actinobacteria					
Asv1010	Bacteria	Actinobacteria	Actinobacteria					
Asv1006	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			
Asv1011	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv1013	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			
Asv1012	Bacteria	Proteobacteria	Betaproteobacteria					
Asv1015	Bacteria	Actinobacteria						
Asv1016	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae			
Asv1017	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1018	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1014	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1019	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1020	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv1021	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1023	Bacteria	Actinobacteria						
Asv1024	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1025	Bacteria	Bacteroidetes						
Asv1026	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1022	Bacteria	Cyanobacteria						
Asv1027	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			
Asv1029	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
Asv1028	Bacteria	Actinobacteria	Actinobacteria					
Asv1031	Bacteria	Actinobacteria	Actinobacteria					
